file_path,pst_id,column_length,cut_length,phi,cut_depth,rho_wl,E_wl,HH_wl,GT_wl,GS_wl,G,GIc,GIIc
data/snowpits/2019-2020/snowpits-23057-caaml.xml,0,1500.0,620.0,0.0,690.0,184.0,5.550242516693784,4F,FCso,1.0,1.1741945781877523,1.144620078744407,0.02957449944334529
data/snowpits/2019-2020/snowpits-23057-caaml.xml,1,1500.0,630.0,0.0,690.0,217.0,11.469285607132804,1F,RGxf,,1.2362499894454828,1.2054958398751632,0.030754149570319713
data/snowpits/2019-2020/snowpits-21858-caaml.xml,0,1000.0,420.0,31,830.0,250.0,21.38206162361775,1F,FC,1.5,0.6483416767655378,0.6291499967961239,0.019191679969413896
data/snowpits/2019-2020/snowpits-23199-caaml.xml,0,1000.0,250.0,38,660.0,137.0,1.515947056821604,4F,DF,0.5,0.12119533344958444,0.10588529314389075,0.015310040305693688
data/snowpits/2019-2020/snowpits-17459-caaml.xml,0,1000.0,320.0,0.0,330.0,125.0,1.0127857821582387,F,SHxr,2.0,0.1867907914021048,0.16584245241814008,0.02094833898396474
data/snowpits/2019-2020/snowpits-24979-caaml.xml,0,1000.0,250.0,26,260.0,296.0,44.95697355050413,P,FC,1.0,0.06048495461589162,0.06046686396666281,1.809064922881544e-05
data/snowpits/2019-2020/snowpits-21867-caaml.xml,0,1000.0,400.0,38,780.0,184.0,5.550242516693784,4F,FCxr,1.0,0.4924180809309894,0.4388879829027967,0.053530098028192696
data/snowpits/2019-2020/snowpits-18874-caaml.xml,0,1000.0,450.0,10,1000.0,162.88,3.24587421255852,4F-,FCso,2.0,1.834255425183717,1.8337171440490496,0.0005382811346675824
data/snowpits/2019-2020/snowpits-18874-caaml.xml,1,1000.0,450.0,10,1000.0,292.25,42.50435458798165,K,IFbi,,1.834255425183717,1.8337171440490496,0.0005382811346675824
data/snowpits/2019-2020/snowpits-18874-caaml.xml,2,1000.0,350.0,10,800.0,162.88,3.24587421255852,4F-,FCsf,1.0,0.5685528940756155,0.5682491258522773,0.0003037682233381741
data/snowpits/2019-2020/snowpits-18874-caaml.xml,3,1000.0,400.0,10,800.0,292.25,42.50435458798165,P,MFcr,,0.849935204458169,0.8497582879291411,0.00017691652902779393
data/snowpits/2019-2020/snowpits-19405-caaml.xml,0,1400.0,700.0,35,870.0,250.0,21.38206162361775,1F,FC,,1.789345051281714,1.7646746952136156,0.024670356068098257
data/snowpits/2019-2020/snowpits-21846-caaml.xml,0,1000.0,430.0,31,190.0,125.0,1.0127857821582387,1F,SH,3.0,0.52815827688281,0.4743739445805868,0.05378433230222321
data/snowpits/2019-2020/snowpits-19385-caaml.xml,0,1000.0,350.0,25,550.0,158.0,2.8392571053874684,F,FC,,0.27165701398798997,0.2716563893712195,6.246167704744693e-07
data/snowpits/2019-2020/snowpits-18718-caaml.xml,0,1000.0,300.0,17,660.0,204.0,8.73949373506776,4F,FC,2.0,0.24542764506369585,0.2450183011351804,0.0004093439285154695
data/snowpits/2019-2020/snowpits-20668-caaml.xml,0,1000.0,410.0,32,270.0,120.0,0.8462740448617735,F,FCso,2.0,0.3350959732040254,0.3298440172916378,0.005251955912387562
data/snowpits/2019-2020/snowpits-17844-caaml.xml,0,1000.0,350.0,32,500.0,125.0,1.0127857821582387,F,SH,4.0,0.2229217957432057,0.22289736689453787,2.4428848667814894e-05
data/snowpits/2019-2020/snowpits-23077-caaml.xml,0,1000.0,350.0,20,850.0,204.0,8.73949373506776,4F,FC,2.0,0.609330482223655,0.5916793287720798,0.017651153451575186
data/snowpits/2019-2020/snowpits-19929-caaml.xml,1,1450.0,800.0,32,670.0,202.0738495144293,8.382200486413158,1F,RG,,2.650697777987956,2.603546226349313,0.04715155163864274
data/snowpits/2019-2020/snowpits-22199-caaml.xml,0,1000.0,360.0,29,830.0,204.0,8.73949373506776,4F,FC,1.0,0.3907545123937714,0.38782724667518814,0.0029272657185832355
data/snowpits/2019-2020/snowpits-27182-caaml.xml,0,1000.0,500.0,29,770.0,184.0,5.550242516693784,4F,FCso,2.0,1.2279156572328973,1.2129739953119243,0.014941661920973116
data/snowpits/2019-2020/snowpits-27182-caaml.xml,1,1000.0,300.0,29,1130.0,210.0,9.928381016949693,F,DH,3.0,0.4776767239695398,0.44164219404406296,0.036034529925476864
data/snowpits/2019-2020/snowpits-18391-caaml.xml,0,1000.0,360.0,30,590.0,125.0,1.0127857821582387,4F+,SH,3.0,0.30229457533544035,0.3010544491409827,0.0012401261944576323
data/snowpits/2019-2020/snowpits-20868-caaml.xml,0,1100.0,600.0,28,970.0,269.12,29.571668209433856,1F+,FCxr,1.0,2.1131070911556895,2.1114061877603385,0.001700903395351125
data/snowpits/2019-2020/snowpits-18376-caaml.xml,0,1000.0,450.0,30,450.0,208.0,9.519019413471497,1F,,,0.5391473942116833,0.521254903909396,0.01789249030228731
data/snowpits/2019-2020/snowpits-19325-caaml.xml,0,1400.0,500.0,25,1380.0,204.0,8.73949373506776,4F,FC,3.0,1.4056655249843168,1.3611558267272807,0.044509698257036066
data/snowpits/2019-2020/snowpits-20072-caaml.xml,0,1000.0,400.0,4,290.0,120.0,0.8462740448617735,F,FCxr,1.5,0.2695027830451561,0.2406492971335077,0.028853485911648446
data/snowpits/2019-2020/snowpits-20072-caaml.xml,1,1000.0,530.0,4,600.0,248.0,20.639583747787405,1F,FCxr,2.0,1.3988395990605327,1.3894430823098451,0.009396516750687619
data/snowpits/2019-2020/snowpits-20072-caaml.xml,2,1000.0,330.0,4,880.0,248.0,20.639583747787405,1F,FCxr,2.0,0.5694458098606069,0.5692553286304392,0.0001904812301677572
data/snowpits/2019-2020/snowpits-20207-caaml.xml,0,1500.0,640.0,0.0,930.0,184.0,5.550242516693784,4F,FCso,,1.8665648482798494,1.838871368489123,0.027693479790726342
data/snowpits/2019-2020/snowpits-17519-caaml.xml,0,1000.0,500.0,38,510.0,204.0,8.73949373506776,4F,FC,,0.6081850469315657,0.596081590033278,0.01210345689828776
data/snowpits/2019-2020/snowpits-19395-caaml.xml,1,1000.0,500.0,0.0,900.0,158.0,2.8392571053874684,F,FC,2.0,2.330997145018366,2.30304775633973,0.027949388678636305
data/snowpits/2019-2020/snowpits-20632-caaml.xml,0,900.0,300.0,26,800.0,184.0,5.550242516693784,4F,FCxr,1.0,0.5658277657278223,0.5249542020520277,0.0408735636757947
data/snowpits/2019-2020/snowpits-20632-caaml.xml,1,900.0,0.0,26,800.0,184.0,5.550242516693784,4F,FCxr,1.0,0.052536653199628136,0.03460313358084072,0.01793351961878742
data/snowpits/2019-2020/snowpits-18275-caaml.xml,0,1000.0,240.0,0.0,880.0,120.0,0.8462740448617735,F,FCso,1.0,0.24805057565962188,0.23939915637936246,0.008651419280259432
data/snowpits/2019-2020/snowpits-24117-caaml.xml,0,1000.0,370.0,13,530.0,210.0,9.928381016949693,F,DH,3.0,0.36549705865270604,0.3641237106449588,0.0013733480077472277
data/snowpits/2019-2020/snowpits-20943-caaml.xml,0,1000.0,440.0,21,450.0,292.25,42.50435458798165,P,MF,2.0,0.39953142111783235,0.3943575861566519,0.005173834961180451
data/snowpits/2019-2020/snowpits-20911-caaml.xml,0,1000.0,320.0,25,585.0,204.0,8.73949373506776,4F,FC,,0.2274588129451707,0.22048809304156913,0.006970719903601563
data/snowpits/2019-2020/snowpits-20724-caaml.xml,0,1000.0,270.0,20,510.0,141.12,1.7270433427148753,F+,FCxr,1.0,0.16562195856583933,0.16516480023689722,0.0004571583289421081
