file_path,pst_id,column_length,cut_length,phi,rho_wl,E_wl,HH_wl,GT_wl,GS_wl,G,GIc,GIIc
data/snowpits/2019-2020/snowpits-20643-caaml.xml,0,1000.0,200.0,23,71.7,0.08778045419353013,F-,,,0.09510125900846146,0.09507517216546894,2.6086842992521997e-05
data/snowpits/2019-2020/snowpits-17535-caaml.xml,0,900.0,360.0,25,210.0,9.928381016949693,F,DH,1.0,0.3049208801540648,0.25772947398467566,0.04719140616938917
data/snowpits/2019-2020/snowpits-18567-caaml.xml,0,1650.0,530.0,0.0,210.0,9.928381016949693,F,DHcp,2.0,0.49476694696513285,0.42332289757693925,0.07144404938819361
data/snowpits/2019-2020/snowpits-21900-caaml.xml,0,1180.0,250.0,6,202.0738495144293,8.382200486413158,1F,RG,0.3,0.17213392044543074,0.1130179697088482,0.05911595073658253
data/snowpits/2019-2020/snowpits-21900-caaml.xml,2,1180.0,370.0,6,184.0,5.550242516693784,4F,FCxr,2.0,0.2723629589560411,0.23108673671944704,0.04127622223659406
data/snowpits/2019-2020/snowpits-19497-caaml.xml,0,1000.0,450.0,28,125.0,1.0127857821582387,F,SH,3.0,0.5201251710819232,0.5015582286203439,0.018566942461579295
data/snowpits/2019-2020/snowpits-18927-caaml.xml,0,1200.0,390.0,0.0,210.0,9.928381016949693,F,DH,2.0,0.33034614689569486,0.307201518262303,0.023144628633391853
data/snowpits/2019-2020/snowpits-22244-caaml.xml,0,1000.0,450.0,0.0,260.0,25.409508808153134,1F,DH,6.0,0.34397001031308194,0.31503874446422675,0.02893126584885518
data/snowpits/2019-2020/snowpits-18442-caaml.xml,0,1000.0,450.0,30,158.0,2.8392571053874684,F,FC,4.0,1.1164737584832995,1.098427280815661,0.01804647766763863
data/snowpits/2019-2020/snowpits-19129-caaml.xml,0,1000.0,300.0,20,210.0,9.928381016949693,F,DH,3.0,0.25774526489551886,0.247417362377396,0.010327902518122838
data/snowpits/2019-2020/snowpits-19129-caaml.xml,1,1000.0,300.0,20,208.0,9.519019413471497,1F,,,0.23256844784855263,0.17587460657584014,0.05669384127271249
data/snowpits/2019-2020/snowpits-19735-caaml.xml,0,1000.0,320.0,30,158.0,2.8392571053874684,F,FC,2.0,0.2063372907873072,0.19873664328689344,0.007600647500413763
data/snowpits/2019-2020/snowpits-19735-caaml.xml,1,1000.0,300.0,30,210.0,9.928381016949693,F,DHch,2.0,0.1523187849842394,0.14398742109390575,0.008331363890333654
data/snowpits/2019-2020/snowpits-20382-caaml.xml,0,1100.0,480.0,0.0,162.88,3.24587421255852,4F-,FCso,,0.58830331353117,0.5522095814788124,0.03609373205235771
data/snowpits/2019-2020/snowpits-20382-caaml.xml,1,1100.0,540.0,0.0,162.88,3.24587421255852,4F-,FCso,,0.8889494996432469,0.8379020867988779,0.051047412844369026
data/snowpits/2019-2020/snowpits-20382-caaml.xml,2,1100.0,560.0,0.0,162.88,3.24587421255852,4F-,FCso,,1.0245909922864573,0.9680305711897123,0.05656042109674511
data/snowpits/2019-2020/snowpits-20576-caaml.xml,0,1040.0,500.0,2,158.0,2.8392571053874684,F,FC,1.0,2.3531154628242446,1.3490150146255557,1.0041004481986886
data/snowpits/2019-2020/snowpits-20576-caaml.xml,1,1040.0,260.0,2,120.0,0.8462740448617735,F,FCxr,1.5,0.2351175556484709,0.22104942876233935,0.014068126886131533
data/snowpits/2019-2020/snowpits-20576-caaml.xml,2,1040.0,500.0,2,248.0,20.639583747787405,1F,FCxr,2.0,0.5177561435371281,0.4797140771865265,0.038042066350601554
data/snowpits/2019-2020/snowpits-22390-caaml.xml,0,1000.0,500.0,30,205.12,8.952591598486295,4F+,FCxr,1.0,3.5599962131094736,3.55866363466598,0.00133257844349359
data/snowpits/2019-2020/snowpits-23057-caaml.xml,0,1500.0,620.0,0.0,184.0,5.550242516693784,4F,FCso,1.0,0.5520963722556579,0.49625068570121333,0.0558456865544446
data/snowpits/2019-2020/snowpits-23057-caaml.xml,1,1500.0,630.0,0.0,217.0,11.469285607132804,1F,RGxf,,0.4821239274555571,0.41574340758897993,0.06638051986657714
data/snowpits/2019-2020/snowpits-21858-caaml.xml,0,1000.0,420.0,31,250.0,21.38206162361775,1F,FC,1.5,0.5284411936076909,0.4835707419941816,0.044870451613509305
data/snowpits/2019-2020/snowpits-23199-caaml.xml,0,1000.0,250.0,38,137.0,1.515947056821604,4F,DF,0.5,0.373211900575723,0.37156534634021404,0.0016465542355089623
data/snowpits/2019-2020/snowpits-17459-caaml.xml,0,1000.0,320.0,0.0,125.0,1.0127857821582387,F,SHxr,2.0,0.1857922140281698,0.16478054806760206,0.021011665960567753
data/snowpits/2019-2020/snowpits-24979-caaml.xml,0,1000.0,250.0,26,296.0,44.95697355050413,P,FC,1.0,0.043954801716015256,0.036628939333327275,0.007325862382687982
data/snowpits/2019-2020/snowpits-21867-caaml.xml,0,1000.0,400.0,38,184.0,5.550242516693784,4F,FCxr,1.0,0.4891382029845185,0.4889932751023228,0.00014492788219567154
data/snowpits/2019-2020/snowpits-18874-caaml.xml,0,1000.0,450.0,10,162.88,3.24587421255852,4F-,FCso,2.0,1.2055212496246217,1.196159650434301,0.009361599190320567
data/snowpits/2019-2020/snowpits-18874-caaml.xml,1,1000.0,450.0,10,292.25,42.50435458798165,K,IFbi,,0.4650648098639634,0.42726748440647844,0.03779732545748497
data/snowpits/2019-2020/snowpits-18874-caaml.xml,2,1000.0,350.0,10,162.88,3.24587421255852,4F-,FCsf,1.0,0.3958413939995446,0.3925490585663958,0.003292335433148793
data/snowpits/2019-2020/snowpits-18874-caaml.xml,3,1000.0,400.0,10,292.25,42.50435458798165,P,MFcr,,0.2566076405217413,0.233965349338718,0.022642291183023324
data/snowpits/2019-2020/snowpits-19405-caaml.xml,0,1400.0,700.0,35,250.0,21.38206162361775,1F,FC,,1.7504642303404983,1.6153550366424974,0.1351091936980009
data/snowpits/2019-2020/snowpits-21846-caaml.xml,0,1000.0,430.0,31,125.0,1.0127857821582387,1F,SH,3.0,0.7641760704844724,0.6754337343138372,0.08874233617063522
data/snowpits/2019-2020/snowpits-19385-caaml.xml,0,1000.0,350.0,25,158.0,2.8392571053874684,F,FC,,0.3696025732850218,0.3527645128486324,0.016838060436389374
data/snowpits/2019-2020/snowpits-18718-caaml.xml,0,1000.0,300.0,17,204.0,8.73949373506776,4F,FC,2.0,0.20858280091866896,0.18703325191656942,0.021549549002099534
data/snowpits/2019-2020/snowpits-20668-caaml.xml,0,1000.0,410.0,32,120.0,0.8462740448617735,F,FCso,2.0,0.5751102215470365,0.5634976109483998,0.011612610598636764
